seed,day,day_label,slot,lambda,pc,p1,p2,p3,p4,edge_avg_wait,edge_E_avg_wait,edge_C_avg_wait,cloud_avg_wait,coord_avg_wait,edge_L,span_seconds,replication
213346916,1,giorno1,0,0.83,0.1,0.3,0.375,0.15,0.075,0.49567697337414385,0.5330609918432914,0.12268003721956758,0.7964431379309681,0.7222772960212135,0.4523366504713001,14399.0,0
213346916,1,giorno1,1,1.66,0.1,0.3,0.375,0.15,0.075,0.574559590584918,0.6109470956649755,0.2102145345103918,0.8187720277040413,1.7856338745419216,1.0546693894541264,14399.0,0
213346916,1,giorno1,2,1.16,0.1,0.3,0.375,0.15,0.075,0.5052083974716399,0.5397435920508877,0.14500610121664703,0.8342619514678894,0.9571876711536832,0.6388523162138773,14399.0,0
213346916,1,giorno1,3,1.9,0.1,0.3,0.375,0.15,0.075,0.6172071335607276,0.6517677818705168,0.25999842457839534,0.8091793140329817,2.6224038080539045,1.2968679648503239,14399.0,0
213346916,1,giorno1,4,1.49,0.1,0.3,0.375,0.15,0.075,0.5366102946019683,0.5734526760772608,0.1812150892656556,0.7806993670808142,1.2715580591482207,0.8796175278484796,14399.0,0
213346916,1,giorno1,5,1.24,0.1,0.3,0.375,0.15,0.075,0.5079634149144691,0.5443552988875183,0.1479686042713817,0.8043862256503687,1.0517772930181462,0.7020259710256221,14399.0,0
213346916,2,giorno2,0,0.83,0.1,0.3,0.375,0.15,0.075,0.4885935358863181,0.5264985465404851,0.1181819597532617,0.796871900366181,0.7258157778304863,0.45069097462616,14399.0,0
213346916,2,giorno2,1,1.66,0.1,0.3,0.375,0.15,0.075,0.569602023537268,0.6059368395341272,0.20922794110789728,0.8005307911487148,1.7702598120293496,1.044778043172636,14399.0,0
213346916,2,giorno2,2,1.16,0.1,0.3,0.375,0.15,0.075,0.5085045634553597,0.5449117410128281,0.14779378402207302,0.8213197369210508,0.9370883794992784,0.6467638429836416,14399.0,0
213346916,2,giorno2,3,1.9,0.1,0.3,0.375,0.15,0.075,0.6200393303198205,0.6573436001470296,0.24134738558531807,0.7907888089124802,2.7338498339482706,1.303249554283587,14399.0,0
213346916,2,giorno2,4,1.49,0.1,0.3,0.375,0.15,0.075,0.5538083415842308,0.589231239804491,0.19810545238217314,0.791878624670834,1.3149334803593333,0.9185780000039019,14399.0,0
213346916,2,giorno2,5,1.24,0.1,0.3,0.375,0.15,0.075,0.5259815063863336,0.5603361464465199,0.16608342481795837,0.8134855382369605,1.0010925521718552,0.7151653539851128,14399.0,0
87324564,1,giorno1,0,0.83,0.1,0.3,0.375,0.15,0.075,0.4990562007358148,0.5359312137425924,0.12465232080328588,0.80670148980455,0.7303314820841799,0.453826091564328,14399.0,1
87324564,1,giorno1,1,1.66,0.1,0.3,0.375,0.15,0.075,0.5751192869954174,0.6118562192043702,0.21150697900395937,0.8258741268107616,1.745700973487972,1.0555370093359189,14399.0,1
87324564,1,giorno1,2,1.16,0.1,0.3,0.375,0.15,0.075,0.51057847990421,0.5468300870072982,0.14858589778456505,0.7387563837091481,0.9127141213145554,0.6474159237510291,14399.0,1
87324564,1,giorno1,3,1.9,0.1,0.3,0.375,0.15,0.075,0.6084027292544326,0.6450459066868075,0.24726267649022204,0.8043754757894012,2.2755181521386567,1.2641289571382817,14399.0,1
87324564,1,giorno1,4,1.49,0.1,0.3,0.375,0.15,0.075,0.5469082726241088,0.5826735366111897,0.18537139392818697,0.794579446572384,1.2591985423487515,0.8974476467506385,14399.0,1
87324564,1,giorno1,5,1.24,0.1,0.3,0.375,0.15,0.075,0.5285487944118111,0.5667212187067174,0.1550132865871461,0.8160471464200277,1.0216378121738592,0.7253000645032972,14399.0,1
87324564,2,giorno2,0,0.83,0.1,0.3,0.375,0.15,0.075,0.48620987631639034,0.522636880046685,0.11787861561883202,0.7613929945854544,0.728802056704951,0.44086090320069393,14399.0,1
87324564,2,giorno2,1,1.66,0.1,0.3,0.375,0.15,0.075,0.5699767731277836,0.6061795403870828,0.21355651354085464,0.7786849680656723,1.4953503080240458,1.044911235520113,14399.0,1
87324564,2,giorno2,2,1.16,0.1,0.3,0.375,0.15,0.075,0.5155761984174599,0.5528741450103192,0.13946206949872408,0.777006673214646,0.9442337165492222,0.6516762838528904,14399.0,1
87324564,2,giorno2,3,1.9,0.1,0.3,0.375,0.15,0.075,0.6186356963153167,0.655876275197274,0.2446484205786738,0.8511412243019906,2.612378068419171,1.2847463870349964,14399.0,1
87324564,2,giorno2,4,1.49,0.1,0.3,0.375,0.15,0.075,0.5588106877745419,0.5962882081785459,0.1828828666111736,0.7854730606572538,1.3748252866748847,0.9186864782970315,14399.0,1
87324564,2,giorno2,5,1.24,0.1,0.3,0.375,0.15,0.075,0.518627156882388,0.5568915807321371,0.15231206249978757,0.8089262718865176,0.9785422458464822,0.7148187065412788,14399.0,1
1080496237,1,giorno1,0,0.83,0.1,0.3,0.375,0.15,0.075,0.4785201761352305,0.5166055675281875,0.11972343868806781,0.8302655610174081,0.7195926104459763,0.44847765656954897,14399.0,2
1080496237,1,giorno1,1,1.66,0.1,0.3,0.375,0.15,0.075,0.5691166469770536,0.605502104208698,0.2104005922941397,0.8242743046694441,1.716998963982638,1.0515160272364423,14399.0,2
1080496237,1,giorno1,2,1.16,0.1,0.3,0.375,0.15,0.075,0.519000063176726,0.5563200079337224,0.15294652446857998,0.7834507606501668,0.9899441511905083,0.6673578838611766,14399.0,2
