seed,edge_avg_wait,cloud_avg_wait,coord_avg_wait,count_E,count_C,E_utilization,C_utilization
123456789,0.4493924335625472,0.8667470429415531,0.2589033494780062,0,3781,0.0708476152776108,0.04774002486338666
321583892,0.44338366132153323,0.8686602254407976,0.2611244664521958,0,3821,0.07079593883014314,0.04732634659629024
1478478085,0.4594862090258695,0.8318706706758212,0.2544983395676248,0,3765,0.07146892646052594,0.045754707625589426
501161075,0.44791930707556155,0.8597675319913063,0.2569669185236413,0,3652,0.06988688363952945,0.04583159957363852
858097248,0.43864297659244517,0.845301339592643,0.26096148232627264,0,3701,0.06874142996710517,0.045221874797693344
684588802,0.4366262278034377,0.8546267465716596,0.2600479664899696,0,3719,0.0689619826212334,0.04587113978662767
40794111,0.4387276255312367,0.8453337321299612,0.2626283358624778,0,3764,0.06968206843794385,0.04655027394309038
2042011865,0.43783310481646454,0.8561645856716018,0.25892719273873993,0,3680,0.0692571139001662,0.04691810091358294
1454072649,0.44458463332261505,0.8477753098430911,0.2555135288779679,0,3729,0.07104450525010003,0.04621108676798897
147984112,0.4456479485535399,0.8274121247591506,0.26002660562250046,0,3731,0.06925510588744815,0.045378979397928586
