seed,edge_avg_wait,cloud_avg_wait,coord_avg_wait,edge_avg_delay,cloud_avg_delay,coord_avg_delay,edge_E_avg_delay,edge_E_avg_response,edge_C_avg_delay,edge_C_avg_response,edge_L,edge_Lq,cloud_L,cloud_Lq,coord_L,coord_Lq,edge_utilization,coord_utilization,cloud_avg_busy_servers,edge_E_utilization,edge_C_utilization,edge_E_L,edge_E_Lq,edge_C_L,edge_C_Lq,edge_throughput,cloud_throughput,coord_throughput,edge_service_time_mean,cloud_service_time_mean,coord_service_time_mean,count_E,count_E_P1,count_E_P2,count_E_P3,count_E_P4,count_C,E_utilization,C_utilization
123456789,1.7823968549955087,0.7902281024851635,0.6802831975937984,1.3961251302533546,1.5312003060279107e-15,0.24289413877934876,1.3928075274508154,1.8930919411962013,1.4044534876233024,1.5045130057673564,3.4410908080972638,2.695355604563451,0.43460356575273085,8.421177515562941e-16,0.5650791733769853,0.20176070737161536,0.7457352035338123,0.36331846600537,0.43460356575273085,0.6907052403672945,0.05502996316651791,2.6136503324022846,1.9229450920349904,0.8274404756949634,0.7724105125284454,1.930597441559071,0.5499722983603845,0.8306528448383019,0.38627172474215404,0.7902281024851621,0.4373890588144496,71769,24144,29719,11966,5940,47518,0.6907052403672945,0.05502996316651791
1154602466,1.8566334731114467,0.8002725066108304,0.6867368142792354,1.4696152181847517,-2.116290416108864e-15,0.24785496168026705,1.4623042253133116,1.9641505113902469,1.4878731823073423,1.588127914154581,3.6173664584722323,2.8633205606342984,0.44582824158310574,-1.178975945192399e-15,0.5728456579940361,0.20674971205648418,0.7540458978379339,0.36609594593755185,0.44582824158310574,0.6981944341919689,0.055851463645965084,2.732627485775085,2.034433051583116,0.8847389726970789,0.8288875090511137,1.9483471082798343,0.5570955367081109,0.8341560348636125,0.38701825492669495,0.8002725066108325,0.43888185259896834,72071,23939,30124,11862,6146,48133,0.6981944341919689,0.055851463645965084
1644176842,1.8465335962324083,0.8000902640215135,0.6892600596024729,1.460946662430182,-4.8495270595044804e-15,0.25000059843024325,1.456911996296907,1.9571772371606508,1.4710051335893002,1.5706976696741795,3.583978390038136,2.835584079180273,0.44457708555062564,-2.6946817170061525e-15,0.5718136332750298,0.2074017615234762,0.7483943108578629,0.36441187175155354,0.44457708555062564,0.692999289649883,0.05539502120797506,2.7112066245687263,2.018207334918843,0.8727717654693642,0.8173767442613891,1.9409223841638945,0.5556586619565108,0.8296050602508728,0.38558693380222636,0.8000902640215183,0.4392594611722297,71681,23813,29991,11866,6011,48011,0.692999289649883,0.05539502120797506
1057233239,1.792305854403002,0.7973457721154557,0.6838170619511756,1.4057331108619149,-6.839877428779673e-15,0.24661828701485689,1.3957862815238635,1.896924631416811,1.4306223141307022,1.530526153721014,3.477714067630222,2.7276247538712988,0.44175799962225654,-3.78953607866075e-15,0.5691314607195165,0.2052569813458852,0.7500893137589231,0.3638744793736313,0.44175799962225654,0.6947390229874433,0.05535029077147782,2.629747983551554,1.9350089605641105,0.8479660840785633,0.7926157933070854,1.9403574780982968,0.5540356706855278,0.8322861367272412,0.38657274354108695,0.7973457721154625,0.43719877493631876,71910,23972,29838,12075,6025,47869,0.6947390229874433,0.05535029077147782
1136349235,1.7941688248797343,0.8069792803677244,0.677310766643265,1.4075707089508809,1.9058584308227578e-14,0.2429360146983236,1.4025552962389898,1.9036133477623287,1.420124637682841,1.5202215309460874,3.4714465196820146,2.7234373772609817,0.4457185923336265,1.0526621409491508e-14,0.5622966953587926,0.20168307514953449,0.7480091424210328,0.3606136202092581,0.4457185923336265,0.6927226593010065,0.05528648312002923,2.631783076898405,1.9390604175973982,0.8396634427835569,0.7843769596635277,1.9348494252845523,0.5523296609679016,0.830190103348749,0.3865981159288534,0.8069792803677054,0.4343747519449414,71728,23927,29936,11878,5987,47721,0.6927226593010065,0.05528648312002923
948426651,1.7904945745714085,0.7975709596228175,0.6772161935469814,1.4044957155772684,8.225551881378072e-15,0.24225695389418542,1.3988453345639917,1.8990689859524426,1.4186133876039608,1.5192176594796627,3.4630343648125557,2.716465605286928,0.440927271141628,4.547394938257425e-15,0.5610372729518333,0.2006968853691222,0.746568759525628,0.3603403875827111,0.440927271141628,0.6909509282491173,0.05561783127650699,2.6231536134103823,1.9322026851612648,0.8398807514021411,0.784262920125634,1.9341216745331407,0.5528376702057315,0.8284463341216777,0.3859988589941401,0.7975709596228093,0.434959239652796,71579,23750,29844,12020,5965,47766,0.6909509282491173,0.05561783127650699
1549932320,1.7196703955112795,0.7979730493790427,0.6793301977903724,1.3334502599701228,-2.4520361822974243e-15,0.2426939299571144,1.3291554466750939,1.8298161007921396,1.3442111296612727,1.443694817496932,3.312580964578503,2.568609635845948,0.4384835832087472,-1.3473858699964122e-15,0.5620063647037191,0.2007794350295404,0.743971328732555,0.36122692967417874,0.4384835832087472,0.6893053673358012,0.05466596139674838,2.519275379723806,1.829970012388005,0.7933055848547291,0.7386396234579806,1.9262883010750622,0.5494967324397249,0.8272948361956125,0.38622013554115675,0.7979730493790451,0.43663626783325804,71479,23716,29967,11803,5993,47477,0.6893053673358012,0.05466596139674838
1830482090,1.7795342924285487,0.7974024267032462,0.6810605631399604,1.3934712215571177,-1.4659725291447706e-14,0.24417208529315007,1.3852934697100945,1.8860103870988318,1.4139136274061834,1.5133697546444425,3.434467649127565,2.6893731976903443,0.4397365115954737,-8.084269930380073e-15,0.5632770801316334,0.2019446532324225,0.7450944514372208,0.36133242689921086,0.4397365115954737,0.6902482546061464,0.054846196831080656,2.5999029244968606,1.9096546698907142,0.8345647246306981,0.7797185277996174,1.9299811550360808,0.5514612156543159,0.827058723727449,0.38606307087143105,0.7974024267032609,0.43688847784681034,71459,23966,29647,11896,5950,47647,0.6902482546061464,0.054846196831080656
1097927660,1.7685656252330615,0.7993496366958519,0.681569454111567,1.38248681176429,-1.8600465281301935e-14,0.24268909639436176,1.3800987876363546,1.881037525538304,1.3884328498935838,1.4885172790455437,3.4371237445152065,2.6867978091386777,0.4451360220621641,-1.0358092058499966e-14,0.5655031380681532,0.201360910114189,0.7503259353765286,0.3641422279539642,0.4451360220621641,0.6945916451262449,0.055734290250284285,2.6082090494338814,1.9136174043076364,0.8289146950813496,0.7731804048310653,1.9434527593864448,0.5568727395713272,0.8297072802437904,0.38607881346877154,0.7993496366958704,0.4388803577172053,71687,24158,29630,11973,5926,48114,0.6945916451262449,0.055734290250284285
2109110125,1.81642164815472,0.7963130385909882,0.6839654496238778,1.4310216677195635,-1.0619399783007856e-15,0.2453577633777547,1.4266508545649776,1.9266061842155975,1.4419055492949489,1.5420481163848072,3.5190154792201302,2.772366980387149,0.44202522623706003,-5.894720247067114e-16,0.5657450872142763,0.20294877368028041,0.746648498832981,0.36279631353399594,0.44202522623706003,0.6910603836965248,0.055588115136453016,2.6630403356766736,1.9719799519801486,0.8559751435434308,0.8003870284069778,1.937334034085673,0.5550897760247504,0.8271544820361723,0.3853999804351564,0.7963130385909893,0.4386076862461231,71468,23805,29756,11977,5930,47961,0.6910603836965248,0.055588115136453016
