seed,slot,lambda,edge_avg_wait,cloud_avg_wait,coord_avg_wait,edge_avg_delay,cloud_avg_delay,coord_avg_delay,edge_E_avg_delay,edge_E_avg_response,edge_L,edge_Lq,cloud_L,cloud_Lq,coord_L,coord_Lq,edge_utilization,coord_utilization,cloud_avg_busy_servers,edge_throughput,cloud_throughput,coord_throughput,edge_service_time_mean,cloud_service_time_mean,coord_service_time_mean,count_E,count_E_P1,count_E_P2,count_E_P3,count_E_P4,count_C,E_utilization,C_utilization
281668658,0,1.880303,0,12.899250436078125,1.7661610333717284,0.7230355409752851,12.51646422744488,0.9533515326285091,0.2953241042120467,20.812839974686533,21.312839974686533,4.3713021455076095,4.241583431745047,0.17218929085909565,0.09294561551352291,0.10508424418083721,0.04292169405344147,0.12971871376256286,0.12027211742622237,0.035046134185662166,0.07924367534557274,0.33888032232333776,0.09749353972008651,0.1453375916197586,0.3827862086332461,0.8128095007432192,0.4277114367632384,2415,804,1024,384,203,1595
281668658,0,1.880303,1,17.00640104798269,1.6961571934400341,0.7815883077385459,16.620736042768005,0.91181341141119,0.34573904995334087,65.28912504596155,65.78912504596155,43.47296397624718,42.487099840073235,1.1991739696637769,0.6446471543931722,0.8971277877370734,0.39684845070982794,0.9858641361739422,0.9159609576697413,0.25248666285382776,0.5545268152706048,2.556270656771556,0.7069945959617643,1.147826520502629,0.3856650052146826,0.784343782028844,0.43584925778520506,2484,843,996,439,206,1515
281668658,0,1.880303,2,34.933019912524585,2.1043736994411035,0.7532338447605454,34.53544258102688,1.2801145386019166,0.3162350801156956,157.87198048338033,158.37198048338033,87.41339312774672,86.41852971015743,1.530209058665194,0.9308436346728307,0.8062587486043984,0.3384968714993775,0.9948634175892972,0.9227768980904433,0.24015181296490837,0.5993654239923634,2.5023142386955866,0.7271565212355577,1.070396337356176,0.39757733149770286,0.8242591608391872,0.4369987646448498,2342,756,978,407,201,1536
281668658,0,1.880303,3,37.21258356005526,1.682329055453215,0.8114759133284823,36.82958950973567,0.9011189896597513,0.3683017679314964,282.7103664009759,283.2103664009759,95.77219883914968,94.78650586026197,1.2426302520001462,0.6655997015407632,0.9080909135532435,0.41215208413561694,0.9856929788877173,0.9146552010839524,0.242517255982074,0.5770305504593831,2.5736508910914075,0.7386368605905014,1.1190608354947582,0.3829940503195889,0.7812100657934639,0.4431741453969859,2368,801,990,396,181,1515
281668658,0,1.880303,4,29.67609052636263,1.9952191767057867,0.833420217349077,29.293923736696506,1.181277729411067,0.3928211928532701,399.9617999061308,400.4617999061308,77.58162019486193,76.58252906792835,1.4872626121022816,0.8805399536921263,0.9417215068186092,0.44386752078168157,0.9990911269335855,0.927223757736483,0.24643069838545606,0.6067226584101554,2.6142803455172987,0.7454131503275904,1.1299479988786623,0.3821667896661217,0.8139414472947197,0.44059902449580685,2436,831,974,435,196,1592
281668658,0,1.880303,5,37.91150803954018,1.8270040015059932,0.7347275580938067,37.51123351999265,1.071408829497831,0.29765125780502144,468.2141571510881,468.7141571510881,94.06845959737143,93.07527284704106,1.3239150354678564,0.7763826775069833,0.7844815605614593,0.3178074929321652,0.9931867503303561,0.9206566555491269,0.24004888681043962,0.5475323579608731,2.4812639871582474,0.7246371843611495,1.0677176212047026,0.40027451954753,0.7555951720081621,0.4370763002887853,2331,808,925,394,204,1503
281668658,0,1.880303,6,32.58992377687966,1.9149503599995834,0.7029340536927754,32.203577207382025,1.116211220957842,0.28151363757763864,595.2061734099345,595.7061734099345,81.7732633776171,80.80385884636189,1.371943073078747,0.7996960572315907,0.7764646170006758,0.3109614303559168,0.9694045312552081,0.9032533542979154,0.2433117160232604,0.5722470158471563,2.509157859265375,0.716437930578548,1.1046052085848124,0.3863465694976354,0.7987391390417413,0.4214204161151367,2379,802,981,382,214,1480
281668658,0,1.880303,7,9.287666422347582,1.428122364680149,0.7557401846015952,8.908439311884765,0.6904924861689058,0.3294605990270196,674.1880937295397,674.6880937295397,23.88636068536888,22.91105051268769,1.0221152543128782,0.4941893779947418,0.8650018277156525,0.3770925856865758,0.9753101726811864,0.9017105929047192,0.26544793155844265,0.5279258763181364,2.571836627109534,0.7157056563159399,1.144575669443404,0.37922711046281715,0.7376298785112433,0.4262795855745756,2482,790,1044,422,226,1542
281668658,0,1.880303,8,10.049226079377378,1.8069149113934169,0.733399949950882,9.663137676785631,1.0048186338261116,0.3022818787474849,739.1339878625148,739.6339878625148,25.558909734225203,24.576943704868537,1.3009638795360745,0.7234611546176646,0.8112044208983865,0.3343501678911383,0.9819660293566659,0.9082265242975601,0.24739926627790385,0.5775027249184098,2.543370955369009,0.7199917778822389,1.1060873687715895,0.38608840259174687,0.8020962775673052,0.431118071203397,2458,791,1047,414,206,1591
281668658,0,1.880303,9,76.14622256608669,2.0806485717946654,0.7928606116818131,75.75015809191846,1.2566964809039043,0.34842362434093,887.4940116389366,887.9940116389366,191.53572040462797,190.53947276646505,1.5198908657322263,0.9180029382262134,0.8533699343098948,0.3750145246654775,0.9962476381629221,0.92543095139091,0.2588960501915052,0.601887927506013,2.515367328148099,0.7304889861439902,1.0763177306786997,0.3960644741682299,0.8239520908907613,0.4444369873408831,2356,780,988,387,201,1548
