seed,lambda,slot,edge_server_number,edge_avg_wait,edge_avg_delay,edge_L,edge_Lq,edge_service_time_mean,edge_avg_busy_servers,edge_throughput,edge_E_avg_delay,edge_E_avg_response,cloud_avg_wait,cloud_avg_delay,cloud_L,cloud_Lq,cloud_service_time_mean,cloud_avg_busy_servers,cloud_throughput,coord_server_number,coord_avg_wait,coord_avg_delay,coord_L,coord_Lq,coord_service_time_mean,coord_utilization,coord_throughput,server_utilization_by_count
129531691,1.343074,1,2,0.5578631143685011,0.061003293877837116,0.7545871582355225,0.08251540742641131,0.49685982049066396,0.6720717508091112,1.3526385573810742,0.10225648925594945,1.1022564892559494,1.427264902012112,0.6226694530020631,0.7788486377425583,0.33978643666699326,0.8045954490100489,0.4390622010755651,0.5456931202081426,1,0.662637207272131,0.21140921209513572,0.5347120709092602,0.1705956990764943,0.4512279951769953,0.3641163718327659,0.8069454371729315,"{""1"":0.3946559280188622,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
129531691,1.074459,2,1,1.0632027698871434,0.5637333614084835,1.150137590429529,0.6098281045711678,0.49946940847865984,0.5403094858583612,1.0817669244330634,0.942944659592655,1.942944659592655,1.229456518848644,0.42996921157081763,0.5348622359507185,0.1870536211448131,0.7994873072778264,0.3478086148059053,0.43503957053446984,1,0.6172255008631976,0.1628268800205942,0.3991766149319898,0.10530459725928264,0.4543986208426034,0.29387201767270715,0.6467273538985935,"{""1"":0.26720187151723507,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
129531691,0.644675,3,1,0.7119336669017653,0.220832918783774,0.46323967640603625,0.14369115353454892,0.4911007481179912,0.31954852287148733,0.6506781431225045,0.36844808564885373,1.3684480856488537,0.9687392881158688,0.1866914966806111,0.25253862372236746,0.04866821673361443,0.7820477914352578,0.20387040698875306,0.2606879134772553,1,0.5238089629735804,0.07689551343929833,0.20428037776030644,0.029988498944881304,0.446913449534282,0.17429187881542516,0.3899902296452492,"{""1"":0.16942138894928527,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
129531691,0.429783,4,1,0.6339312344947963,0.13108154310482953,0.2706487548125609,0.0559635722137972,0.5028496913899668,0.2146851825987637,0.42693708731397517,0.2212405945813803,1.2212405945813802,0.922990504136193,0.11912374274625798,0.16058524288647816,0.020725581765716084,0.8038667613899351,0.1398596611207621,0.17398363489856966,1,0.5050513135749729,0.05127337031381038,0.12775447341572493,0.012969776037851898,0.4537779432611625,0.11478469737787304,0.2529534524154055,"{""1"":0.11485800693168462,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1108975146,1.880303,0,2,0.6446254073441127,0.1456632600522737,1.2151448812655772,0.2745811176916429,0.49896214729183896,0.9405637635739343,1.8850403155408222,0.24142089689366833,1.2414208968936684,1.9245884354701022,1.1297190937711932,1.4389876795061651,0.8446750626154177,0.7948693416989089,0.5943126168907475,0.7476859223435355,1,0.8730622414740294,0.4211227921917678,0.9929811758751578,0.47896585777481515,0.45193944928226165,0.5140153181003426,1.1373543931972867,"{""1"":0.501938534541928,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1108975146,1.343074,1,2,0.5589891070174287,0.06334819703415714,0.7516455094331668,0.08518124456032929,0.49564090998327154,0.6664642648728375,1.3446514431089465,0.10525421154581323,1.1052542115458133,1.3307940658551134,0.538551251639407,0.7124550261985367,0.28831924934190534,0.7922428142157065,0.4241357768566314,0.5353608379225394,1,0.6671710558580126,0.21981284430180445,0.5399352675581851,0.17789246979275278,0.4473582115562082,0.3620427977654324,0.8092906051864069,"{""1"":0.3236694573361068,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1108975146,1.074459,2,1,1.0651226539861254,0.5632338259496843,1.142389462336485,0.6040922941488415,0.5018888280364411,0.5382971681876434,1.072542639161035,0.9364595990978282,1.9364595990978282,1.211523941613426,0.4029420383446426,0.5178800106076173,0.17224226441144722,0.8085819032687835,0.34563774619617016,0.42746163969152734,1,0.6147498445423566,0.15881986637632636,0.3965634441411079,0.10245167813765425,0.45592997816603026,0.2941117660034536,0.6450809994695077,"{""1"":0.28141650799494144,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1108975146,0.644675,3,1,0.7456826559563697,0.24722124548743296,0.4859782359497227,0.16111967176866415,0.4984614104689368,0.3248585641810586,0.6517225954872652,0.41379907060808957,1.4137990706080896,0.9694386102135137,0.18416085380563715,0.2543377163957574,0.04831564424291151,0.7852777564078766,0.2060220721528459,0.26235567029844303,1,0.5396953755427061,0.08143730459280502,0.2101395289136901,0.031708992884966036,0.45825807094990106,0.17843053602872405,0.38936692518882215,"{""1"":0.17168981765212865,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1108975146,0.429783,4,1,0.6231061732810367,0.13272364620652335,0.26879883757163625,0.057255028674690775,0.4903825270745133,0.2115438088969455,0.43138529049751717,0.22205205769860575,1.2220520576986058,0.9240135029400351,0.13484324699511133,0.16035350573730672,0.023400726625605245,0.7891702559449238,0.13695277911170148,0.1735402190845614,1,0.5115612187802796,0.05283516278749623,0.13190353898849988,0.01362328632205711,0.4587260559927833,0.11828025266644276,0.25784507141295576,"{""1"":0.11316436376031529,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
2088418601,1.880303,0,2,0.6453978631211795,0.144919362543419,1.212276690015104,0.2722078506638142,0.5004785005777606,0.9400688393512899,1.878340105051584,0.2417227819401815,1.2417227819401815,2.10662595500664,1.3045774444643154,1.5846551866087695,0.9813348253827411,0.8020485105423247,0.6033203612260284,0.7522242773296575,1,0.8353993667227513,0.3892559013393043,0.9407564493353642,0.4383472315323552,0.44614346538344696,0.502409217803009,1.1261158277219263,"{""1"":0.47537164140293425,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
2088418601,1.343074,1,2,0.5638625262707655,0.06239621498464272,0.7557537802747729,0.0836306247577036,0.5014663112861227,0.6721231555170694,1.3403156710433028,0.10356977514779749,1.1035697751477975,1.3967744167113691,0.5933896916589058,0.7442498482920948,0.3161786060164448,0.8033847250524635,0.42807124227564997,0.5328346792350273,1,0.6705397622145205,0.21993140522018942,0.5414481122398661,0.17759042921698628,0.450608356994331,0.36385768302287985,0.8074809918082755,"{""1"":0.38242576677185874,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
