seed,slot,lambda,edge_NuoviArrivi_avg_wait,edge_NuoviArrivi_avg_delay,edge_NuoviArrivi_L,edge_NuoviArrivi_Lq,edge_NuoviArrivi_Ls,edge_NuoviArrivi_utilization,edge_NuoviArrivi_throughput,edge_NuoviArrivi_service_time_mean,Edge_NuoviArrivi_E_Ts,edge_Feedback_avg_wait,edge_Feedback_avg_delay,edge_Feedback_L,edge_Feedback_Lq,edge_Feedback_Ls,edge_Feedback_utilization,edge_Feedback_throughput,edge_Feedback_service_time_mean,Edge_Feedback_E_Ts,cloud_avg_wait,cloud_avg_delay,cloud_L,cloud_Lq,cloud_avg_busy_servers,cloud_throughput,cloud_service_time_mean,coord_avg_wait,coord_avg_delay,coord_L,coord_Lq,coord_utilization,coord_throughput,coord_service_time_mean,edge_E_avg_delay,edge_E_avg_response,count_E,count_E_P1,count_E_P2,count_E_P3,count_E_P4,count_C
1820604437,0,1.880303,2.129648533392785,1.708360339181522,4.039918960025296,3.2407400641924435,0.7991788958328525,0.7991788958328525,1.8969885859941507,0.4212881942112628,0.4212881942112628,0.10779609343263853,0.007934436587088697,0.08238950778334539,0.006064360072166333,0.07632514771117906,0.07632514771117906,0.7643088460791982,0.09986165684554983,0.09986165684554983,0.0,0.8,0.6101010568790971,1.51569331376879e-15,0.6101010568790955,0.7643088460791982,0.7982389056581408,0.9544907003271184,0.466141994380037,1.0811322781977613,0.5279895929578176,0.5531426852399437,1.1326797399149524,0.48834870594708135,2.8611265391184406,3.2811265391184405,16312,3324,4015,1626,7347,0
1820604437,1,1.343074,1.0076253143525011,0.5851961331574053,1.3665564850340703,0.7936517268792539,0.5729047581548165,0.5729047581548165,1.356214919939976,0.4224291811950958,0.4224291811950958,0.10650758138865139,0.005719815513948658,0.05796523274787983,0.003112928049047739,0.054852304698832094,0.054852304698832094,0.5442357435229127,0.10078776587470274,0.10078776587470274,0.0,0.8,0.43509232019604543,-1.5787813385096305e-15,0.435092320196047,0.5442357435229127,0.7994556134436056,0.7467184814962065,0.2557163257311594,0.6063198576206897,0.20763633156358427,0.3986835260571055,0.8119791764170632,0.4910021557650471,0.9774286705002941,1.397428670500294,11694,2341,2925,1208,5220,0
1820604437,2,1.074459,0.7593712218496933,0.3399953149040596,0.8168869803418647,0.3657469997952238,0.4511399805466409,0.4511399805466409,1.075741293371736,0.4193759069456337,0.4193759069456337,0.10369522443292657,0.003857703064558131,0.04441952167421874,0.0016525093207130231,0.04276701235350572,0.04276701235350572,0.4283661269565092,0.09983752136836845,0.09983752136836845,0.0,0.8,0.33948468439259905,-1.3262329681641478e-15,0.3394846843926004,0.4283661269565092,0.7925105722168068,0.6639604357843247,0.1657996450320809,0.4298314976090038,0.10733457279422892,0.3224969248147749,0.647375166415227,0.4981607907522438,0.5649691535443195,0.9849691535443195,9323,1804,2330,883,4306,0
1820604437,3,0.644675,0.5824210397468295,0.1644446348560934,0.38269504499831536,0.10805266747118193,0.2746423775271334,0.2746423775271334,0.6570762710850344,0.41797640489073606,0.41797640489073606,0.10311542822321973,0.0018956248297374546,0.026995901820682892,0.0004962797776649059,0.026499622043017985,0.026499622043017985,0.26180274170266116,0.10121980339348227,0.10121980339348227,0.0,0.8,0.21306724361603552,-2.2105536411371053e-15,0.21306724361603774,0.26180274170266116,0.8138464946177909,0.5959135152683871,0.08720327906414332,0.2355488383867922,0.034469147889399955,0.20107969049739222,0.3952735293823733,0.5087102362042438,0.27336175948846725,0.6933617594884672,5692,1203,1424,559,2506,0
1820604437,4,0.429783,0.4957197570587606,0.08201908701247386,0.20930844889649233,0.03463103424472227,0.17467741465177006,0.17467741465177006,0.42223140376404594,0.41370067004628674,0.41370067004628674,0.10391022923932813,0.0017339462214592182,0.017600177798277345,0.00029369352770884855,0.017306484270568495,0.017306484270568495,0.16937868318758356,0.10217628301786892,0.10217628301786892,0.0,0.8,0.13987111206067496,6.789778231808582e-16,0.1398711120606743,0.16937868318758356,0.8257893462648411,0.5594413029194485,0.05247884491173642,0.14145625544602336,0.013269418708642794,0.12818683673738054,0.2528527205764624,0.506962458007712,0.13696128784285666,0.5569612878428567,3641,756,888,350,1647,0
652564245,0,1.880303,1.9740176531660008,1.5562547606301211,3.7263959036794017,2.937775837917483,0.7886200657619185,0.7886200657619185,1.887721671436359,0.41776289253587956,0.41776289253587956,0.10782844525961333,0.007468675547609199,0.0818048425933194,0.005666165602979177,0.07613867699034023,0.07613867699034023,0.7586573505382725,0.10035976971200412,0.10035976971200412,0.0,0.8,0.6164838463163196,-5.051669009064856e-16,0.6164838463163201,0.7586573505382725,0.812598528016529,0.9328720920899736,0.448698783431263,1.053272595140343,0.5066097872026164,0.5466628079377265,1.1290643208980864,0.48417330865871056,2.6019561361931105,3.0219561361931104,16262,3304,4102,1569,7287,0
652564245,1,1.343074,0.9701629619875403,0.5497218407297314,1.3100782997883615,0.7423275085500369,0.5677507912383246,0.5677507912383246,1.3503693205360552,0.4204411212578089,0.4204411212578089,0.10438368582172038,0.004774095970207648,0.056228955968513905,0.0025716895316069345,0.05365726643690697,0.05365726643690697,0.5386757090044588,0.09960958985151273,0.09960958985151273,0.0,0.8,0.4356614900647208,8.209583840001679e-16,0.43566149006472,0.5386757090044588,0.8087639423538845,0.7216720357784241,0.2314571538282863,0.5857765810623484,0.18787229310570594,0.3979042879566425,0.8116936115315964,0.49021488195013785,0.9145415191199158,1.3345415191199157,11690,2379,2961,1105,5245,0
652564245,2,1.074459,0.7473472955072508,0.3290412414514552,0.7987352939567661,0.3516662926253641,0.447069001331402,0.447069001331402,1.068760533099456,0.4183060540557956,0.4183060540557956,0.10483714442004273,0.004453781175357729,0.04396079784601987,0.0018675801881425386,0.04209321765787733,0.04209321765787733,0.4193246400329792,0.100383363244685,0.100383363244685,0.0,0.8,0.3402679971671335,0.0,0.3402679971671335,0.4193246400329792,0.8114667364655032,0.670859669331816,0.17550106140263338,0.4356803484747893,0.11397668854613383,0.32170365992865546,0.649435893066477,0.4953586079291825,0.5414950057116217,0.9614950057116216,9353,1906,2273,932,4242,0
652564245,3,0.644675,0.564806102936893,0.1457822764445087,0.3645351796730601,0.0940902870215346,0.2704448926515255,0.2704448926515255,0.6454165027210946,0.4190238264923844,0.4190238264923844,0.10406070560312446,0.0028217016593012297,0.0265499260604914,0.000719925643258027,0.025830000417233375,0.025830000417233375,0.2551388240797613,0.10123900394382324,0.10123900394382324,0.0,0.8,0.19727506469240735,-2.0842581621298034e-15,0.19727506469240944,0.2551388240797613,0.7732067646072456,0.593031136981514,0.08649899092579856,0.2314468155031758,0.03375862538333842,0.1976881901198374,0.3902776786413333,0.5065321460557154,0.24108549417709318,0.6610854941770932,5620,1100,1379,569,2572,0
652564245,4,0.429783,0.508561767347673,0.08683221214982396,0.21758029009830623,0.037149819594126866,0.18043047050417937,0.18043047050417937,0.4278345405968351,0.42172955519784905,0.42172955519784905,0.10252742386222859,0.0014612875043787802,0.017531667505160765,0.00024987272371770745,0.017281794781443056,0.017281794781443056,0.17099490892035846,0.1010661363578498,0.1010661363578498,0.0,0.8,0.1374324320529664,6.000934829754262e-16,0.13743243205296582,0.17099490892035846,0.8037223617983591,0.5501823335658245,0.047847509541671246,0.1413086279079508,0.012289136727319546,0.12901949118063125,0.25683963167647667,0.5023348240241532,0.14464208405703505,0.564642084057035,3698,746,896,382,1674,0
