seed,lambda,slot,edge_server_number,edge_avg_wait,edge_avg_delay,edge_L,edge_Lq,edge_server_service,edge_server_utilization,edge_weight_utilization,edge_E_avg_delay,edge_E_avg_response,cloud_avg_wait,cloud_avg_delay,cloud_L,cloud_Lq,cloud_service_time_mean,cloud_avg_busy_servers,cloud_throughput,coord_avg_wait,coord_avg_delay,coord_L,coord_Lq,coord_service_time_mean,coord_utilization,coord_throughput,server_utilization_by_count
689024015,0.644675,3,1,0.7483527078536896,0.24684834843008943,0.485587688808384,0.16017382945552047,0.5015043594236,0.3254138593528635,0.485587688808384,2.42898774855208,2.92898774855208,1.4007820734027707,0.6118920043969549,0.816561829478011,0.35669192520404247,0.7888900690058158,0.4598699042739685,0.5829328094515261,0.5863260745741036,0.015929062433398675,0.0386638807586162,0.0010504041986685354,0.5703970121407049,0.037613476559947664,0.0659426255035663,"{""1"":0.3752902203736038,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
689024015,0.429783,4,1,0.6320538705668198,0.13284687038890416,0.2670227694200932,0.05612360099658181,0.49920700017791564,0.21089916842351136,0.2670227694200932,1.3470672657434883,1.8470672657434883,1.1130887868575667,0.3246242927130099,0.4238695796261957,0.1236184966674379,0.7884644941445568,0.3002510829587578,0.380804824045393,0.5883498309973305,0.006472905410304861,0.02451274112364061,0.0002696842019511614,0.5818769255870256,0.02424305692168945,0.04166354748855504,"{""1"":0.22369663000193904,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1668467470,1.880303,0,1,0.8864949861727205,0.3879179113002785,0.9929646260419195,0.434507549097627,0.49857707487244196,0.5584570769442925,0.9929646260419195,3.8934460461142333,4.393446046114233,2475.119466924109,2474.324570865769,2496.163081948506,2495.361427635924,0.7948960583402013,0.8016543125819285,1.0085020603270307,0.6316042181842828,0.04395762058281845,0.07048686371726433,0.004905658832145906,0.5876465976014643,0.06558120488511841,0.11159973554308723,"{""1"":0.0,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1668467470,1.343074,1,1,1.6665292120853166,1.1599742494855803,1.8572485311634206,1.2927228970374594,0.5065549625997363,0.5645256341259611,1.8572485311634206,11.656428479269964,12.156428479269964,29.18577973454665,28.38626689452953,29.289064905265953,28.486722679810974,0.7995128400171205,0.802342225454978,1.0035388868023645,0.612085367248508,0.026499005386155804,0.06788157887220053,0.0029387964823293796,0.5855863618623521,0.06494278238987115,0.11090214291079509,"{""1"":0.0,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1668467470,1.074459,2,1,1.0288829228410787,0.5314493465939872,1.0739615038720978,0.554733805789953,0.49743357624709156,0.5192276980821448,1.0739615038720978,5.202137767503011,5.702137767503011,3.264511306878044,2.4562942179566987,3.059426188405726,2.3019834059122855,0.8082170889213455,0.7574427824934405,0.9371773906739973,0.6067556978658724,0.023415505753638245,0.06470184230115728,0.0024969297626746805,0.5833401921122341,0.0622049125384826,0.10663573911004308,"{""1"":0.5018621999741353,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1668467470,0.644675,3,1,0.7097274155489628,0.2161352966576923,0.4549681853692423,0.1385527479427194,0.4935921188912705,0.3164154374265229,0.4549681853692423,2.122954461745184,2.622954461745184,1.4538658523066161,0.6577399023707703,0.8371101602766429,0.37871496480943473,0.7961259499358458,0.45839519546720814,0.5757822559409689,0.5936654417551444,0.014560192438739008,0.038745050728118985,0.0009502580998858165,0.5791052493164054,0.03779479262823317,0.06526411679543118,"{""1"":0.34564353733071707,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1668467470,0.429783,4,1,0.6147933778128972,0.1222389241570556,0.2646931293251365,0.05262874410842475,0.49255445365584166,0.21206438521671173,0.2646931293251365,1.2106730507567807,1.7106730507567807,1.1190457651700956,0.32704060905141324,0.4331482962253222,0.12658738991392313,0.7920051561186823,0.30656090631139904,0.3870693314848329,0.6059053456242732,0.004891705983914598,0.026339099039871756,0.00021264563733384945,0.6010136396403587,0.026126453402537907,0.043470649714658305,"{""1"":0.1928890748846965,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
500427278,1.880303,0,1,1.0121949199343905,0.512754933391799,1.120466636027367,0.5676029231219475,0.4994399865425914,0.5528637129054194,1.120466636027367,5.192694427914489,5.692694427914489,2568.264024177221,2567.4675865499503,2562.2524421657117,2561.4578687743874,0.7964376272707564,0.7945733913244838,0.9976592819293822,0.6304718040674654,0.04174213960978039,0.06891559746148694,0.0045627488366172635,0.588729664457685,0.06435284862486967,0.1093079770052848,"{""1"":0.0,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
500427278,1.343074,1,1,1.5916698337271655,1.0854012538424502,1.7633661678472667,1.2024854709239021,0.5062685798847153,0.5608806969233644,1.7633661678472667,10.561913491958462,11.061913491958462,37.00394457031891,36.197305406901364,36.78268790481218,35.98087185670402,0.8066391634175447,0.8018160481081551,0.9940207275717247,0.614722075627541,0.028135076946248627,0.06998678460688999,0.0032032094636022857,0.5865869986812924,0.06678357514328771,0.11385110016659768,"{""1"":0.0,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
500427278,1.074459,2,1,1.0937262082812456,0.5900507179348187,1.1692812847848204,0.6308116751076495,0.5036754903464269,0.5384696096771708,1.1692812847848204,6.123909031531981,6.623909031531981,3.6506776593288968,2.8445021349456976,3.5268190046587122,2.7479950640624224,0.8061755243831993,0.7788239405962896,0.9660724210055418,0.605863749164886,0.020613181531711745,0.06240881837562066,0.002123322783595343,0.5852505676331742,0.06028549559202531,0.10300800875055505,"{""1"":0.49249400610883215,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
500427278,0.644675,3,1,0.7490031115310061,0.2518040427429455,0.4802350705448592,0.16144810397778073,0.49719906878806064,0.3187869665670785,0.4802350705448592,2.6136693784936296,3.1136693784936296,1.514682948775339,0.7012155626651034,0.8775997069883753,0.4062807816171296,0.8134673861102357,0.4713189253712457,0.5793949867184666,0.5835792357830075,0.011956772792650887,0.036048079345165907,0.0007385778449832747,0.5716224629903567,0.03530950150018263,0.06177066820549056,"{""1"":0.2957871005291376,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
